rank;title;platform;playtime_hours;playtime_is_minimum;playtime_original;rating;release_year;genre;game_url;cover_url;cover_source_url
51;MotorStorm: Apocalypse;PlayStation 3;5;FALSE;5;6,6;2011;Racing;https://www.igdb.com/games/motorstorm-apocalypse;https://cdn2.steamgriddb.com/grid/5c64eb1908aa3f7b07b9541c95692291.png;https://www.steamgriddb.com/search/grids?term=MotorStorm%20Apocalypse
52;The Binding of Isaac;PC;20;FALSE;20;6,5;2011;Shooter / RPG;https://www.igdb.com/games/the-binding-of-isaac;https://cdn2.steamgriddb.com/grid/9de4daf39d31cf4f464f452ac8278991.png;https://www.steamgriddb.com/search/grids?term=The%20Binding%20of%20Isaac
53;Getting Over It;PC;1500;FALSE;1500;6,3;2017;Platform;https://www.igdb.com/games/getting-over-it-with-bennett-foddy;https://cdn2.steamgriddb.com/grid/ef2e83d7af305391f3ffa6618660513e.png;https://www.steamgriddb.com/search/grids?term=Getting%20Over%20It%20with%20Bennett%20Foddy
54;Skate 3;PlayStation 3;10;FALSE;10;6,2;2010;Sport;https://www.igdb.com/games/skate-3;https://cdn2.steamgriddb.com/grid/cb5afcadcac972f1c6d743c96936ebe3.png;https://www.steamgriddb.com/search/grids?term=Skate%203
55;Super Mario Bros. 3;Game Boy Advance;10;FALSE;10;6,2;1988;Platform;https://www.igdb.com/games/super-mario-bros-3;https://cdn2.steamgriddb.com/grid/c5279e07367ef7ba59d6e772bfd9ac5d.png;https://www.steamgriddb.com/search/grids?term=Super%20Mario%20Bros%203
56;The Legend of Zelda: Ocarina of Time;Nintendo 64;15;FALSE;15;6;1998;Adventure;https://www.igdb.com/games/the-legend-of-zelda-ocarina-of-time;https://cdn2.steamgriddb.com/grid/ed89e6477ff6a465891a5f17f77948ae.png;https://www.steamgriddb.com/search/grids?term=The%20Legend%20of%20Zelda%20Ocarina%20of%20Time
57;Sonic Chronicles: The Dark Brotherhood;Nintendo DS;10;FALSE;10;6;2008;Role-playing (RPG);https://www.igdb.com/games/sonic-chronicles-the-dark-brotherhood;https://cdn2.steamgriddb.com/grid/d5b8a7260a04e6aa55594282e426bdb7.png;https://www.steamgriddb.com/search/grids?term=Sonic%20Chronicles%20The%20Dark%20Brotherhood
58;Wildfrost;PC;10;FALSE;10;6;2023;Card & Board Game;https://www.igdb.com/games/wildfrost;https://cdn2.steamgriddb.com/grid/b917669ef1e5df19c822441a15f2d1b4.png;https://www.steamgriddb.com/search/grids?term=Wildfrost
59;Balatro;PC;10;FALSE;10;5,8;2024;Card & Board Game;https://www.igdb.com/games/balatro;https://cdn2.steamgriddb.com/grid/d70b4d9fdf0af0a00814b91fa82b3d4c.png;https://www.steamgriddb.com/search/grids?term=Balatro
60;Pogostuck;PC;450;FALSE;450;5,7;2019;Platform;https://www.igdb.com/games/pogostuck-rage-with-your-friends;https://cdn2.steamgriddb.com/grid/7e54279a7509b2d16c249b1b0fe7d8a8.png;https://www.steamgriddb.com/search/grids?term=Pogostuck%20Rage%20With%20Your%20Friends
